Feature,Selected,Mutual_Info_Score,Importance,Std,Mean_abs_shap
original_gldm_GrayLevelNonUniformity,True,0.043064459626160234,0.052295279306515105,0.08040669627172792,0.018926605341158108
original_shape_MeshVolume,True,0.038746737356343486,0.03243986397790153,0.06465720951594624,0.0101998507165981
original_shape_VoxelVolume,True,0.038400302386693896,0.026645210940110468,0.06037043920910968,0.009353660090961148
original_firstorder_Maximum,True,0.038151951754124,0.010321883872892904,0.027386467664745118,0.002258675698401115
original_glrlm_GrayLevelNonUniformity,True,0.03084709151337206,0.03700163577547639,0.06592892727812787,0.016103390043131244
original_ngtdm_Coarseness,True,0.028127885066468128,0.04959639558720948,0.0774291339390744,0.018289327658254723
original_ngtdm_Busyness,True,0.02806120144413038,0.014665909072101154,0.033924403053940844,0.0052964202413630585
original_firstorder_Mean,True,0.027520068403552367,0.015043597996349788,0.032947360022251376,0.004888753337979732
original_glcm_JointEnergy,True,0.026541125442930857,0.02985596610652613,0.058400533488853976,0.006815230349031016
original_shape_Maximum2DDiameterRow,True,0.025867491943124987,0.042254109886180335,0.06356175675612648,0.018092114919772258
original_firstorder_Skewness,True,0.024759798631437846,0.011272443034402804,0.027128168306855518,0.0035084852259178517
original_shape_MinorAxisLength,True,0.02423460255410337,0.0338330745915996,0.0662349351202784,0.014338443951800207
original_shape_LeastAxisLength,True,0.024136684705016842,0.029191459313556354,0.05900411032606849,0.008238846933869299
original_firstorder_RootMeanSquared,True,0.023923859528918623,0.02587129604530133,0.052392967505673266,0.007926825007685951
original_glcm_Contrast,True,0.023384046154271365,0.028977312020644533,0.049547578832418816,0.008929005658006207
original_shape_Maximum2DDiameterSlice,True,0.023111344077491935,0.030649973899967556,0.06139243958084671,0.009967853519474832
original_firstorder_Energy,True,0.021490703943253253,0.02429032273793892,0.048422648407360255,0.008227941837459311
original_firstorder_TotalEnergy,True,0.021490703943253253,0.0299684312794443,0.05071839151141084,0.00827132539371728
original_glrlm_RunEntropy,True,0.021417065195159957,0.050050437246787365,0.07200342407303834,0.02446300051246458
original_firstorder_InterquartileRange,True,0.019956254559786002,0.020825713193414783,0.04283618648181522,0.004978034521731378
original_gldm_DependenceNonUniformity,True,0.018348172276775543,0.024418020852512497,0.05211705515748507,0.00657401925988767
original_glrlm_GrayLevelNonUniformityNormalized,True,0.01830982016433924,0.023458969553203694,0.04646770195743628,0.005955716850689417
original_gldm_LowGrayLevelEmphasis,True,0.018205940752870964,0.022092064044406737,0.04445896848210431,0.006030084429270432
original_glrlm_LongRunHighGrayLevelEmphasis,True,0.017926663392977105,0.03982889762374884,0.05944935834400133,0.012660654074334947
original_firstorder_Median,True,0.01746739904902217,0.02720912767543379,0.05268759081373055,0.01087394520619833
original_firstorder_Range,True,0.017143047751986717,0.015767325738275172,0.03418312390729649,0.004109866571303414
original_glcm_Idm,True,0.015600896725752822,0.02353237051891691,0.046433825277734646,0.00611809920870627
original_firstorder_Entropy,True,0.014350940274229229,0.030822288007332076,0.05668257701157959,0.00744936741413234
original_glszm_LowGrayLevelZoneEmphasis,True,0.013353947078081907,0.015721857164297724,0.032879620921508965,0.003919867378272302
original_glcm_Idn,True,0.012413860894144868,0.018267844267740793,0.0447072432659005,0.0050570055551114644
original_glcm_SumSquares,True,0.012410596711090127,0.023332448620125287,0.04661996328971762,0.006094480600491624
original_glcm_DifferenceEntropy,True,0.012232807927374134,0.032977668631718,0.05583937332048909,0.01439355007880278
original_glcm_DifferenceAverage,True,0.01216658125458192,0.01744164169490753,0.033859817780444564,0.005516812161293578
original_glcm_Imc1,True,0.010937282912769408,0.06352560322736112,0.08100815998981041,0.027984840179509078
original_shape_SurfaceArea,True,0.010621186680632722,0.026553556495699054,0.053956137880652275,0.005999084116666448
